epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1539.96,0.96884,0.49873,0.94391,0.87719,0.88595,0.92568,0.62053,0.89967,0.47308,0.96148,0.000848969,0.000848969,0.000848969
43,1571.69,0.93055,0.48227,0.94275,0.88371,0.89736,0.93637,0.64406,0.86918,0.46773,0.94716,0.000834822,0.000834822,0.000834822
44,1606.68,0.94468,0.4895,0.95221,0.89616,0.89415,0.93183,0.63073,0.8703,0.4657,0.9545,0.000820675,0.000820675,0.000820675
45,1637.32,0.96295,0.50584,0.95528,0.90093,0.82039,0.91926,0.61604,0.88459,0.47307,0.94739,0.000806528,0.000806528,0.000806528
46,1668.78,0.88687,0.46855,0.93407,0.88489,0.85003,0.92301,0.64624,0.86986,0.46817,0.95509,0.00079238,0.00079238,0.00079238
47,1702.27,0.91921,0.48717,0.93339,0.9112,0.84123,0.9281,0.64153,0.85035,0.46592,0.95115,0.000778233,0.000778233,0.000778233
48,1732.48,0.90322,0.47349,0.9316,0.863,0.90015,0.9326,0.65435,0.84756,0.45139,0.95132,0.000764086,0.000764086,0.000764086
49,1764.93,0.90701,0.48314,0.92097,0.85349,0.89828,0.92616,0.65995,0.8445,0.4458,0.95114,0.000749939,0.000749939,0.000749939
50,1798.28,0.93597,0.49327,0.94522,0.88994,0.86565,0.92662,0.64721,0.86007,0.46603,0.95389,0.000735792,0.000735792,0.000735792
51,1828.43,0.91336,0.47555,0.93999,0.91475,0.86499,0.93702,0.65845,0.84444,0.45462,0.94804,0.000721645,0.000721645,0.000721645
52,1860,0.9107,0.47336,0.93489,0.89383,0.89921,0.93571,0.6514,0.85675,0.45127,0.94784,0.000707498,0.000707498,0.000707498
53,1892.84,0.90237,0.47289,0.93436,0.86017,0.89901,0.93196,0.64894,0.85418,0.45949,0.95349,0.000693351,0.000693351,0.000693351
54,1922.26,0.90601,0.4784,0.93384,0.90137,0.8807,0.9402,0.65842,0.862,0.45552,0.94527,0.000679204,0.000679204,0.000679204
55,1955.44,0.87432,0.46465,0.93033,0.88715,0.8846,0.9255,0.64168,0.8636,0.45405,0.94728,0.000665057,0.000665057,0.000665057
56,1987.6,0.90302,0.47488,0.94937,0.89824,0.89398,0.93572,0.65992,0.84109,0.44499,0.94981,0.000650909,0.000650909,0.000650909
57,2018.97,0.86828,0.45543,0.9209,0.8623,0.8988,0.93461,0.65071,0.87281,0.46716,0.95581,0.000636762,0.000636762,0.000636762
58,2051.61,0.88235,0.4536,0.933,0.87326,0.88729,0.92769,0.66085,0.83586,0.44993,0.94487,0.000622615,0.000622615,0.000622615
59,2084.2,0.84628,0.44215,0.92418,0.89312,0.85293,0.92431,0.64908,0.85318,0.45055,0.94096,0.000608468,0.000608468,0.000608468
60,2114.77,0.87694,0.45243,0.92624,0.85979,0.86232,0.91764,0.63002,0.85659,0.46054,0.94635,0.000594321,0.000594321,0.000594321
61,2147.82,0.87954,0.45449,0.93488,0.85776,0.89316,0.93179,0.64149,0.8505,0.43882,0.94327,0.000580174,0.000580174,0.000580174
62,2180.27,0.83548,0.44155,0.92123,0.88831,0.87509,0.93593,0.65525,0.8305,0.44167,0.94018,0.000566027,0.000566027,0.000566027
